,20260303_124731,20260303_124811,20260303_124817,20260303_130852,20260303_140308,20260303_140313,20260303_142732,20260303_142735,20260304_113242,20260304_115535,20260304_120710,20260304_120859,20260304_124541,20260304_151407,20260304_151602
timestamp,2026-03-03 12:47:31,2026-03-03 12:48:11,2026-03-03 12:48:17,2026-03-03 13:08:52,2026-03-03 14:03:08,2026-03-03 14:03:13,2026-03-03 14:27:32,2026-03-03 14:27:35,2026-03-04 11:32:42,2026-03-04 11:55:35,2026-03-04 12:07:10,2026-03-04 12:08:59,2026-03-04 12:45:41,2026-03-04 15:14:07,2026-03-04 15:16:02
model,logistic,logistic,logistic_map_wr,logistic_combined,logistic_map_wr_l5,logistic_combined_l5,logistic_combined_l15,logistic_map_wr_l15,logistic_combined_l15_>10matches,logistic_combined_l15_>10matches,logistic_map_elo_l15_60_20_10,logistic_map_elo_l15_100_20_10,logistic_map_elo_l15_maps_only_100_20_10,logistic_map_elo_l15_maps_only_190_90_17,logistic_map_elo_l15_maps_only_190_90_17
feature_1,team1_elo,elo_diff,ancient_wr_diff_l10,elo_diff,ancient_wr_diff_l5,elo_diff,elo_diff,ancient_wr_diff_l15,elo_diff,elo_diff,elo_diff,elo_diff,elo_diff,elo_diff,elo_diff
feature_2,team2_elo,rating_diff_l10,anubis_wr_diff_l10,rating_diff_l10,anubis_wr_diff_l5,rating_diff_l5,rating_diff_l15,anubis_wr_diff_l15,rating_diff_l15,rating_diff_l15,rating_diff_l15,rating_diff_l15,rating_diff_l15,rating_diff_l15,rating_diff_l15
feature_3,,kast_diff_l10,dust2_wr_diff_l10,kast_diff_l10,dust2_wr_diff_l5,kast_diff_l5,kast_diff_l15,dust2_wr_diff_l15,kast_diff_l15,kast_diff_l15,kast_diff_l15,kast_diff_l15,kast_diff_l15,kast_diff_l15,kast_diff_l15
feature_4,,swing_diff_l10,inferno_wr_diff_l10,swing_diff_l10,inferno_wr_diff_l5,swing_diff_l5,swing_diff_l15,inferno_wr_diff_l15,swing_diff_l15,swing_diff_l15,swing_diff_l15,swing_diff_l15,swing_diff_l15,swing_diff_l15,swing_diff_l15
feature_5,,team1_rolling_win_rate_l10,mirage_wr_diff_l10,team1_rolling_win_rate_l10,mirage_wr_diff_l5,team1_rolling_win_rate_l5,team1_rolling_win_rate_l15,mirage_wr_diff_l15,team1_rolling_win_rate_l15,team1_rolling_win_rate_l15,team1_rolling_win_rate_l15,team1_rolling_win_rate_l15,team1_rolling_win_rate_l15,team1_rolling_win_rate_l15,team1_rolling_win_rate_l15
feature_6,,team2_rolling_win_rate_l10,nuke_wr_diff_l10,team2_rolling_win_rate_l10,nuke_wr_diff_l5,team2_rolling_win_rate_l5,team2_rolling_win_rate_l15,nuke_wr_diff_l15,team2_rolling_win_rate_l15,team2_rolling_win_rate_l15,team2_rolling_win_rate_l15,team2_rolling_win_rate_l15,team2_rolling_win_rate_l15,team2_rolling_win_rate_l15,team2_rolling_win_rate_l15
feature_7,,is_lan,overpass_wr_diff_l10,is_lan,overpass_wr_diff_l5,is_lan,is_lan,overpass_wr_diff_l15,is_lan,is_lan,is_lan,is_lan,is_lan,is_lan,is_lan
feature_8,,,train_wr_diff_l10,ancient_wr_diff_l10,train_wr_diff_l5,ancient_wr_diff_l5,ancient_wr_diff_l15,train_wr_diff_l15,ancient_wr_diff_l15,ancient_wr_diff_l15,ancient_elo_diff,ancient_elo_diff,ancient_elo_diff,ancient_elo_diff,is_bo3
